CROSSCHECK_ID,SOURCE_ID,SOURCE_LOCATOR,SUBJECT,CURRENT_HOME,ACTION,STATUS,NOTES
XC-REC-391,master-web-391,p42,Recepción,ops/areas/RECEPCION_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar ingreso controlado privacidad estación y evidencia exacta sin duplicar REQ-COM."
XC-CUR-391,master-web-391,p52,Curtiduría,ops/areas/CURTIDURIA_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar zona húmeda drenaje química maquinaria estado de pH y estaciones vigentes; no reintroducir Ricardo."
XC-FMR-391,master-web-391,p90,Formas Moldes Réplicas,ops/areas/FORMAS_MOLDES_REPLICAS_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar punto de mezcla racks curado estación Omar y evidencia."
XC-MON-391,master-web-391,p133,Montaje,ops/areas/MONTAJE_PILOT_AREA_BOOK_V2.md,PRESERVE,PARTIAL,"V2 es el patrón de mayor resolución; revisar pérdida/regresión antes de tocar."
XC-RET-391,master-web-391,p163,Retoque,ops/areas/RETOQUE_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar pintura solventes compresor reguladores mangueras conexiones acabado fino y estaciones reales."
XC-BAS-391,master-web-391,p188,Bases,ops/areas/BASES_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar armado estable contención PU/adhesivos guardas/corte polvo y evidencia; roster vigente pendiente."
XC-CAR-391,master-web-391,p213,Carpintería Embalaje,ops/areas/CARPINTERIA_EMBALAJE_AREA_BOOK_V2.md,CORRECT,OPEN,"Preservar condiciones físicas pero no conservar como vigente la antigua ubicación en espacio del Sr. Pez."
XC-SOL-391,master-web-391,p227,Soldadura,ops/areas/SOLDADURA_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar estación Flaco trabajo en caliente humos equipo y evidencia sin inventar método."
XC-BLA-391,master-web-391,p241,Blanqueado,ops/areas/BLANQUEADO_AREA_BOOK_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Recuperar estación calor agua protección de cuernos ventilación y evidencia."
XC-SUP-391,master-web-391,p277-p326,Espacios de soporte,ops/areas/ESPACIOS_SOPORTE_V2.md,MERGE_WITHOUT_LOSS,OPEN,"Expandir bodegas BIWO exhibición comedor sanitarios rutas exterior y residuos desde controles fuente sin crear metodología falsa."
