"req_id","reference","title","applicability_class","trigger_fact","roca_output","closure_channel","status","official_source"
"STPS-001","NOM-001-STPS-2008","Edificios, locales e instalaciones","CORE_CANDIDATE","Centro de trabajo físico","Pisos, áreas, circulación, servicios e instalaciones seguras","FIELD+DOCUMENT","NOT_CHECKED","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-002","NOM-002-STPS-2010","Prevención y protección contra incendios","CORE_CANDIDATE","Centro de trabajo con riesgo de incendio","Clasificación de riesgo, rutas, salidas, extintores, detección/protección y registros","FIELD+MEASUREMENT+DOCUMENT","PARTIAL","https://www.dof.gob.mx/nota_detalle_popup.php?codigo=5170410"
"STPS-004","NOM-004-STPS-1999","Seguridad en maquinaria","CONDITIONAL","Uso de maquinaria/equipo con partes peligrosas","Guardas/dispositivos, paro, mantenimiento, condición segura","FIELD+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-005","NOM-005-STPS-1998","Sustancias químicas peligrosas","CORE_CANDIDATE","Ácidos, solventes, inflamables u otras sustancias peligrosas presentes","Manejo, almacenamiento, incompatibilidad, ventilación/aislamiento y procedimientos","FIELD+DOCUMENT","PARTIAL","https://asinom.stps.gob.mx/upload/noms/Nom-005.pdf"
"STPS-006","NOM-006-STPS-2023","Almacenamiento/manejo con maquinaria","CONDITIONAL","Materiales colocados/retirados con maquinaria","Zonas, racks, capacidades, estibas, pasillos, señalización y mantenimiento","FIELD+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/upload/nom/52.pdf"
"STPS-010","NOM-010-STPS-2014","Agentes químicos contaminantes","CONDITIONAL","Potencial de contaminantes químicos en aire","Reconocimiento/evaluación y controles técnicos/administrativos","MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-011","NOM-011-STPS-2001","Ruido","CONDITIONAL","Exposición a ruido por maquinaria/herramienta","Reconocimiento/evaluación/control cuando se active","MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-017","NOM-017-STPS-2024","Equipo de protección personal","CORE_CANDIDATE","Tareas con riesgos que requieren EPP","Selección por riesgo, uso, manejo, capacitación y registros","FIELD+DOCUMENT","PARTIAL","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-018","NOM-018-STPS-2015","Comunicación de peligros químicos","CORE_CANDIDATE","Sustancias químicas peligrosas/mezclas en uso","Identificación, HDS, señalización y comunicación de peligros","FIELD+DOCUMENT","PARTIAL","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-019","NOM-019-STPS-2011","Comisión de seguridad e higiene","CORE_CANDIDATE","Centro de trabajo dentro del alcance de la norma","Constitución/recorridos/actas/seguimiento","DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
