"area","category","item","historical_target","source","decision_state","note"
"Bases/Retoque","Equipo personal","Cinta métrica 5 m","4","p.202","VERIFY_STOCK_FIRST","Cantidad histórica basada en 4 colaboradores; reconciliar personal/estaciones vigentes."
"Bases/Retoque","Equipo personal","Juego desarmadores + puntas","4 kits","p.202","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases/Retoque","Equipo personal","Juego llaves combinadas","4 juegos","p.202","VERIFY_STOCK_FIRST","Fuente menciona 1/2 y 9/16 como medidas observadas."
"Bases/Retoque","Equipo personal","Pinza punta/universal","4","p.202","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases","Equipo personal","Pinza de presión","4","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases","Equipo personal","Martillo de trabajo","4","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases","Equipo personal","Tijeras para malla","4","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases","Equipo personal","Cuchillo/navaja de trabajo","4","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases","Equipo personal","Juego brocas madera/metal","4 juegos","p.203","VERIFY_STOCK_FIRST","Confirmar diámetros realmente usados."
"Bases","Equipo personal","Taladro/atornillador inalámbrico","4","p.203","VERIFY_STOCK_FIRST","Confirmar estaciones y activos existentes."
"Retoque","Equipo personal","Juego pinceles de retoque","4 juegos","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Retoque","Equipo personal","Aerógrafo","4","p.203","VERIFY_STOCK_FIRST","Cantidad histórica; confirmar cuántos retocadores trabajan simultáneamente."
"Bases/Retoque","Equipo personal","Juego espátulas pequeñas/medianas","4 juegos","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases/Retoque","Equipo personal","Cepillo plástico/alambre","4 juegos","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Bases/Retoque","EPP","Lentes + guantes de trabajo","4 juegos","p.203","VALIDATE_TASK_EPP","EPP se define por tarea/riesgo real, no por kit genérico."
