"req_id","reference","title","applicability_class","trigger_fact","trigger_evidence_ids","applicability_decision","decision_basis","checker","decision_date","source_authority","source_url","source_verified_on","verification_status","notes"
"STPS-001","NOM-001-STPS-2008","Edificios, locales e instalaciones","CORE_CANDIDATE","Centro de trabajo físico","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","NOT_CHECKED",""
"STPS-002","NOM-002-STPS-2010","Prevención y protección contra incendios","CORE_CANDIDATE","Centro de trabajo con riesgo de incendio","","","","","","OFFICIAL_PRIMARY","https://www.dof.gob.mx/nota_detalle_popup.php?codigo=5170410","","PARTIAL",""
"STPS-004","NOM-004-STPS-1999","Seguridad en maquinaria","CONDITIONAL","Uso de maquinaria/equipo con partes peligrosas","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-005","NOM-005-STPS-1998","Sustancias químicas peligrosas","CORE_CANDIDATE","Ácidos, solventes, inflamables u otras sustancias peligrosas presentes","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/noms/Nom-005.pdf","","PARTIAL",""
"STPS-006","NOM-006-STPS-2023","Almacenamiento/manejo con maquinaria","CONDITIONAL","Materiales colocados/retirados con maquinaria","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/nom/52.pdf","","APPLICABILITY_PENDING",""
"STPS-010","NOM-010-STPS-2014","Agentes químicos contaminantes","CONDITIONAL","Potencial de contaminantes químicos en aire","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-011","NOM-011-STPS-2001","Ruido","CONDITIONAL","Exposición a ruido por maquinaria/herramienta","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-017","NOM-017-STPS-2024","Equipo de protección personal","CORE_CANDIDATE","Tareas con riesgos que requieren EPP","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","PARTIAL",""
"STPS-018","NOM-018-STPS-2015","Comunicación de peligros químicos","CORE_CANDIDATE","Sustancias químicas peligrosas/mezclas en uso","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","PARTIAL",""
"STPS-019","NOM-019-STPS-2011","Comisión de seguridad e higiene","CORE_CANDIDATE","Centro de trabajo dentro del alcance de la norma","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-020","NOM-020-STPS-2011","Recipientes sujetos a presión/calderas","CONDITIONAL","Compresor/receptor u otro recipiente dentro de alcance","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
