item_id,domain,risk_class,status,owner_check,independent_check,source_integrity,determinism,cross_system,artifact_check,blocker_note
AREA-COMMON-RESCUE,area_standard,R2_HIGH,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-REC-RESCUE,intake_traceability,R2_HIGH,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-CUR-RESCUE,chemical_wet_process,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-FMR-RESCUE,chemical_molding,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-MON-REGRESSION,mounting_area,R2_HIGH,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-RET-RESCUE,solvent_compressed_air,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-BAS-RESCUE,structural_cutting,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-CAR-RESCUE,planned_cutting,R2_HIGH,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-SOL-RESCUE,hot_work,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-BLA-RESCUE,thermal_process,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
AREA-SUP-RESCUE,support_spaces,R1_CRITICAL,VERIFIED,Y,Y,Y,Y,Y,Y,
EVIDENCE-PLAN-RESCUE,evidence_control,R2_HIGH,VERIFIED,Y,Y,Y,Y,Y,Y,
FIELD-BRIDGE-RESCUE,field_capture,R2_HIGH,VERIFIED,Y,Y,Y,Y,Y,Y,
