ID,SOURCE,SOURCE_LOCATOR,SUBJECT,CANONICAL_HOME,ACTION,RISK,CONFLICT,PROOF,NOTES
SRC-001,User correction,2026-09-21,No replicar HTML/PDF 1:1; consolidar sistema audit,Architecture global,CORRECT,R2,,User correction,Overrides earlier replica framing
SRC-002,HTML v22.1,index.html,Process methods by area,III/Area books/2 Methodology,MERGE_WITHOUT_LOSS,R2,,v22.1 stages,Preserve strongest supported technical stages
SRC-003,HTML v22.1,PHOTO_PLAN_v22.md,Technical photo shot list,III/Area books/1 and 6 + V Heritage,MERGE_WITHOUT_LOSS,R2,,Specific shot briefs,Separate EVIDENCE from HERITAGE purpose
SRC-004,HTML v22.1,Interview annexes,Interviews and legacy,V Heritage/evidence,PRESERVE,R2,,Interview source,Integrate facts into canonical homes and keep source annex
SRC-005,HTML v22.1,Tools/material catalogs,III/Area books/3 and 4,MERGE_WITHOUT_LOSS,R2,,Catalog sections,Correct identifications with newer evidence
SRC-006,Master integral 391p,Area governance pages,III/Area books/0,PRESERVE,R2,,Handoffs/decisions/ERP,Update roster from latest corrections
SRC-007,Master integral 391p,Area de trabajo standards,III/Area books/1,PRESERVE,R1,,Physical control criteria,Applicability and measurements remain evidence-gated
SRC-008,Master integral 391p,Area verification,III/Area books/7,PRESERVE,R2,,Audit semantics,Audit verifies existing standards only
SRC-009,Master integral 391p,Assurance/legal,IV Assurance,MERGE_WITHOUT_LOSS,R1,,Requirement/status structure,Use current official source before current-law claim
SRC-010,Master canonic 367p,Whole document,Preservation cross-check,HOLD_PENDING_EVIDENCE,R3,,Comparison source,Not a mandatory architecture
SRC-011,ROCA Live current,index/app/styles,Shell/navigation/working modes,HTML infrastructure,PRESERVE,R3,,Current repo,Content authority remains section-based
SRC-012,Drive,Original evidence and sensitive docs,Drive controlled evidence,PRESERVE,R1,,Primary files,Do not copy sensitive originals into public repo
SRC-013,BIWO,Commercial and piece states,II Governance + III/6 Controls,MERGE_WITHOUT_LOSS,R2,,System of record,Avoid parallel customer database
SRC-014,ClickUp,Tasks/status/owners,Execution workboard,PRESERVE,R2,,Operational task system,Not technical source
SRC-015,External norms/standards,Official primary sources,IV Assurance + area controls,MERGE_WITHOUT_LOSS,R1,,Source/vigency/applicability,Translate requirement into operator action
SRC-016,Machotes,Controlled templates,V Annex index + controlled Drive folder,PRESERVE,R2,,Template rule,Decision/event templates remain reusable
SRC-017,ROCA Live legacy,data.js#areas,Legacy area standard,ops/areas/AREA_COMMON_STANDARD_V2.md + area books,REMOVE_DUPLICATE,R2,,Canonical common standard + area books,Hidden from compendium navigation; content survives in V2 structure
SRC-018,ROCA Live legacy,data.js#residuos,Legacy waste/signage block,AREA_COMMON_STANDARD_V2 + ROCA_MATERIAL_FLOW_REGISTER_V2.csv + Assurance,MERGE_WITHOUT_LOSS,R2,,Common requirements + material-flow register,Hidden from compendium navigation to avoid duplicate truth
SRC-019,ROCA Live legacy,data.js#erp,Legacy BIWO block,ROCA_BIWO_EVENT_MAP_V2.md + editorial-data.js#trazabilidad,MERGE_WITHOUT_LOSS,R2,,Semantic event map + four synchronized flows,Hidden from compendium navigation; exact UI labels remain pending
SRC-020,ROCA Live legacy,data.js#posters,Legacy posters,Area books + later operator-facing communication layer,HOLD_PENDING_EVIDENCE,R3,,Area-specific standards preserved,Hidden from compendium until operator posters are rebuilt from verified standards
SRC-021,ROCA extra,extra-data.js#responsabilidades,Legacy responsibilities block,ROCA_ROSTER_STATION_REGISTRY_V2.csv + area governance,MERGE_WITHOUT_LOSS,R2,,Current roster registry + local governance,Hidden from compendium to prevent parallel responsibility matrix
SRC-022,ROCA extra,extra-data.js#documentos,Legacy document-control block,editorial-data.js#machotes-guias + controlled templates,MERGE_WITHOUT_LOSS,R2,,Five-class document rule + templates,Hidden from compendium to prevent duplicate taxonomy
SRC-023,ROCA extra,extra-data.js#internacional,Legacy international dossier,editorial-data.js#cumplimiento + legal/Assurance case layer,MERGE_WITHOUT_LOSS,R1,,Case-specific applicability retained in Assurance,Hidden from compendium; no universal checklist
SRC-024,ROCA V2,control-data.js,Assets materials competence evidence transversal controls,Compendium transversal control layer,ADD,R2,,Registers in ops/control,Compact communication layer; detailed registers remain outside final reading
SRC-025,ROCA legacy legal,legal-data.js#legal,Legacy detailed legal chapter,assurance-data.js#assurance + ops/compliance/ROCA_PRIMARY_SOURCE_REFRESH_22SEP2026.md,MERGE_WITHOUT_LOSS,R1,,Assurance summary + restricted source refresh,Hidden from compendium to avoid a large stale legal chapter; detailed evidence stays in controlled dossier
SRC-026,ROCA preaudit,roca-preaudit-readiness requirement registry,106 candidate controls,quality/ROCA_PREAUDIT_GATE_22SEP2026.md + assurance-data.js#assurance,ADD,R1,,Deterministic pack/gate result,80 NOT_CHECKED; 26 APPLICABILITY_PENDING; zero VERIFIED
SRC-MON-391-GOV,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 129-131,Montaje governance and handoff,ops/areas/MONTAJE_PILOT_AREA_BOOK_V2.md#0,CORRECT,R2,391P roster had pending new montador and assistant,Current book preserves handoff and applies later roster correction,Historical roster remains source evidence only
SRC-MON-391-AREA,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 132-143,Montaje area controls evidence and verification,ops/areas/MONTAJE_PILOT_AREA_BOOK_V2.md#1,MERGE_WITHOUT_LOSS,R1,MON-AREA-01..10 semantic collision between 391P and V2 draft,391P meanings restored under 01..10 and later controls moved to 11..13; source-data now separates sourceControlIds,Historical 300/500/750 lux retained as HOLD not acceptance threshold
SRC-MON-391-METHOD,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 144-158,Montaje method tools and verification,ops/areas/MONTAJE_PILOT_AREA_BOOK_V2.md#2-7,MERGE_WITHOUT_LOSS,R2,Thread selection horn fixation Bondo ratio and exact adhesive remain open,Omitted craft details restored and 10-stage verification preserved,Do not close open technical items from historical prose alone
SRC-MON-391-ASSET,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 152-155,Montaje tools equipment and resguardo,ops/control/ROCA_ASSET_MAINTENANCE_REGISTER_V2.csv,CORRECT,R2,391P generic maintenance matrix overgeneralizes manual tools and punctures,Mesas-soportes added as controlled asset while maintenance stays asset-specific,Manufacturer interval used only when a real applicable asset has one
SRC-RET-391-GOV,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF p. 161,Retoque governance and roster,ops/areas/RETOQUE_AREA_BOOK_V2.md#0,CORRECT,R2,391P lists only Rodolfo Jr. while later user correction adds Emiliano Valerio/Valentino and Señor Pez,Current roster registry + area book preserve latest correction,Valerio/Valentino exact name remains open
SRC-RET-391-AREA,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 162-168,Retoque area controls evidence and verification,ops/areas/RETOQUE_AREA_BOOK_V2.md#1,MERGE_WITHOUT_LOSS,R1,RET-AREA-01..06 semantic collision existed in V2 draft,Source meanings restored for 01..09 and later controls moved to 10..12; source-data separates sourceControlIds,750/1000 lux retained as HOLD not canonical acceptance threshold
SRC-RET-INT-RODOLFO,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF p. 380 literal interview 18 AGO 2026,Retoque and Bases craft facts,ops/areas/RETOQUE_AREA_BOOK_V2.md#2 + ops/areas/BASES_AREA_BOOK_V2.md#2,MERGE_WITHOUT_LOSS,R1,,Primary statements preserved: Salvo+Roma Suavitel conditional resanador/barro/aserrín+Resistol dark-to-light gasoline white Resistol 800 oil; Base facts moved to Bases,Interview outranks derivative prose for facts it covers
SRC-RET-391-METHOD,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 169-182,Retoque derived method and criteria,ops/areas/RETOQUE_AREA_BOOK_V2.md#2-7,MERGE_WITHOUT_LOSS,R2,Historical method mixes Retoque and Bases,Seven Retoque stages preserved and Base-only content removed from Retoque canonical method,1-2 h Resistol 800 drying remains historical reference not automatic release
SRC-RET-391-BASEMOVE,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 171-181 + interview p. 380,Base-specific facts embedded in Retoque and Bases source,ops/areas/BASES_AREA_BOOK_V2.md#2,MOVE,R2,,Dextrina 2:1 Blanco España malla 8x8 and 3 mm pata-malla moved to Bases; other Base detail awaits dedicated Bases pass,No duplicate full Base method in Retoque
SRC-RET-391-ASSET,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 176-181,Retoque and Bases tool catalogue / generic maintenance,ops/areas/RETOQUE_AREA_BOOK_V2.md#3 + ops/control/ROCA_ASSET_MAINTENANCE_REGISTER_V2.csv,CORRECT,R2,Source mixes both areas and applies generic preventive language broadly,Retoque-specific powered/pneumatic assets preserved; Base tools excluded; manual tools not assigned invented manufacturer intervals,Current existence of pistol/secadora remains NOT_VERIFIED
SRC-BAS-391-GOV,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF p. 185,Bases governance and historical roster,ops/areas/BASES_AREA_BOOK_V2.md#0,CORRECT,R1,391P assigns Sr. Pes Emiliano Valerio to Bases while later correction places Señor Pez Emiliano Valerio/Valentino in Retoque,Current Bases book leaves responsible OPEN and does not duplicate Retoque staff,Field confirmation required
SRC-BAS-391-AREA,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 186-193,Bases area controls evidence and verification,ops/areas/BASES_AREA_BOOK_V2.md#1,MERGE_WITHOUT_LOSS,R1,BAS-AREA-01..05 semantic collision existed in V2 draft,Source meanings restored for 01..09 and later controls moved to 10..12; source-data separates sourceControlIds,Heavy handling remains field-dependent
SRC-BAS-391-MOVE-08-09,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF p. 175,Base measurement plan and structural fixing embedded in Retoque block,ops/areas/BASES_AREA_BOOK_V2.md#2,MOVE,R1,,Stages 08 and 09 moved to Bases canonical method,Historical #8x2in screws remain observed example not universal specification
SRC-BAS-INT-RODOLFO,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF p. 380 literal interview 18 AUG 2026,Bases craft parameters,ops/areas/BASES_AREA_BOOK_V2.md#2,MERGE_WITHOUT_LOSS,R1,,Primary facts preserved: dextrin:Blanco Espana 2:1 malla 8x8 and 3 mm pata-malla,Primary interview outranks derivative prose for these facts
SRC-BAS-PU-CONFLICT,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF p. 195 vs interview Omar p. 381,Polyurethane A/B recipe for Bases,ops/areas/BASES_AREA_BOOK_V2.md#2,HOLD_PENDING_EVIDENCE,R1,Derived Bases method says 50/50 warm and 30/70 cool while Omar says base 50/50 and increase total quantity in cold,30/70 not canonical; identify real Base product and recipe before release,Do not inherit Formas recipe automatically
SRC-BAS-391-METHOD,ROCA_MASTER_WEB_391P_SOURCE.pdf,PDF pp. 194-207,Bases stages 10-15 tools and verification,ops/areas/BASES_AREA_BOOK_V2.md#2-7,MERGE_WITHOUT_LOSS,R2,Stock recommendations and generic equipment quantities can be mistaken for requirements,Stages 10-15 preserved; proposed kit counts/minimum stocks labeled historical planning only,Recipe conflict remains open
