ASSET_ID,AREA_ID,ASSET_FAMILY,KNOWN_USE,CONTROL_LEVEL,PREUSE_CHECK,AFTER_USE,PREVENTIVE_STATUS,EVIDENCE_REQUIRED,STATUS
AST-CUR-001,AREA-CUR,Tambor,baños/curtido/acondicionamiento,CRITICAL,condición visible y acceso libre,limpieza/descarga según rutina real,frecuencia exacta pendiente,registro de activo + mantenimiento + foto de acceso,NOT_VERIFIED
AST-CUR-002,AREA-CUR,Rebajadora de disco,rebajado de piel,CRITICAL,condición/guardas/acceso según equipo real,limpieza y retiro de residuo,frecuencia exacta pendiente,registro de activo + evidencia de mantenimiento,NOT_VERIFIED
AST-CUR-003,AREA-CUR,Pateadora,acondicionamiento sólo si la secuencia real la usa,HOLD,confirmar existencia/uso real,confirmar rutina,pendiente,fuente de campo + activo,NOT_VERIFIED
AST-CUR-004,AREA-CUR,Báscula,peso para fórmula/receta,MEASUREMENT,lectura cero/condición según instrumento,limpieza y resguardo,verificación/calibración según criticidad por cerrar,ID instrumento + verificación aplicable,NOT_VERIFIED
AST-CUR-005,AREA-CUR,Medición de pH (instrumento/método por confirmar),control de neutralización/repiclado,MEASUREMENT,confirmar instrumento o método + ID + estado antes de lectura,limpieza/resguardo según instrumento real,verificación/calibración según criticidad por cerrar,ID instrumento/método + verificación aplicable + registro de lectura,NOT_VERIFIED
AST-FMR-001,AREA-FMR,Báscula,dosificación/prueba de lote,MEASUREMENT,condición/lectura antes de dosificar,limpieza y resguardo,verificación aplicable pendiente,ID instrumento + verificación + foto,NOT_VERIFIED
AST-FMR-002,AREA-FMR,Taladro/mezclador,mezcla de poliuretano/resina,CRITICAL,estado cable/batería/accesorio,limpieza sin dejar mezcla adherida,preventivo controlado pendiente,registro de activo + mantenimiento,NOT_VERIFIED
AST-FMR-003,AREA-FMR,Moldes,producción de formas/réplicas,PRODUCTION,integridad/cierre/herrajes,limpieza/desmolde/resguardo,inspección por uso + mantenimiento por condición,ID/código + foto + reparación si aplica,NOT_VERIFIED
AST-MON-001,AREA-MON,Taladros/herramienta eléctrica,ajuste/fijación cuando aplica,PRODUCTION,estado/cable/batería/accesorio,limpieza y resguardo,preventivo controlado pendiente,registro de activo,NOT_VERIFIED
AST-MON-002,AREA-MON,Herramienta de medición,selección/ajuste de forma,MEASUREMENT,integridad/lectura según instrumento real,limpieza/resguardo,verificación según criticidad pendiente,identificar instrumento real + método de verificación,NOT_VERIFIED
AST-MON-003,AREA-MON,Mesas/soportes de montaje,apoyo estable de pieza/forma,PRODUCTION,estabilidad/uniones/superficie,limpieza y resguardo,preventivo según activo real y condición,identificar soportes reales + criterio de retiro,NOT_VERIFIED
AST-RET-001,AREA-RET,Aerógrafo/compresor,pintura/acabado,CRITICAL,condición presión/mangueras/punto de uso según equipo real,limpieza después de uso,preventivo controlado pendiente,registro de activo + mantenimiento,NOT_VERIFIED
AST-RET-002,AREA-RET,Iluminación de detalle,comparación de color/textura,MEASUREMENT_SUPPORT,funcionamiento y ubicación,limpieza,levantamiento/medición por tarea pendiente,foto + medición de iluminancia,NOT_VERIFIED
AST-RET-003,AREA-RET,Pistola de pintura,aplicación de acabado cuando exista,PRODUCTION,identidad/boquilla/conexión/función,limpieza después de uso,preventivo según activo real/manual cuando aplique,confirmar existencia actual + registro de activo,NOT_VERIFIED
AST-RET-004,AREA-RET,Secadora,secado/acabado localizado cuando exista,PRODUCTION,identidad/cable/función,limpieza y resguardo,preventivo según activo real/manual cuando aplique,confirmar existencia actual + registro de activo,NOT_VERIFIED
AST-BAS-001,AREA-BAS,Herramienta de corte/fijación,construcción de base,PRODUCTION,estado/guardas según equipo real,limpieza/resguardo,preventivo pendiente,registro de activo,NOT_VERIFIED
AST-BAS-002,AREA-BAS,Mesa/banco de armado,soporte estable durante construcción,PRODUCTION,estabilidad/uniones/superficie,limpieza y despeje,preventivo según activo real y condición,identificar bancos reales + criterio de retiro,NOT_VERIFIED
AST-BAS-003,AREA-BAS,Equipo de manipulación/ayuda mecánica,manejo de pieza/base pesada cuando exista,CRITICAL,identidad/capacidad/condición según equipo real,inspección y resguardo,preventivo según fabricante/uso real cuando aplique,confirmar si existe + capacidad + registro,NOT_VERIFIED
AST-CAR-001,AREA-CAR,Sierra/caladora u otro equipo de corte,carpintería/corte sólo si se implementa,PLANNED,NO APLICA hasta confirmar activo real,NO APLICA hasta confirmar activo,pendiente implementación,evidencia de puesto/equipo real,NOT_IMPLEMENTED
AST-CAR-002,AREA-CAR,Banco/rack de madera,soporte y almacenamiento si se implementa,PLANNED,NO APLICA hasta existir puesto,NO APLICA hasta existir puesto,pendiente implementación,evidencia física de banco/rack real,NOT_IMPLEMENTED
AST-CAR-003,AREA-CAR,Equipo de manipulación/carga,uso sólo si peso/volumen lo exige,PLANNED,NO APLICA hasta confirmar equipo,NO APLICA hasta confirmar equipo,pendiente implementación,evidencia de equipo/capacidad real,NOT_IMPLEMENTED
AST-SOL-001,AREA-SOL,Equipo de soldadura,unión/adaptación metálica,CRITICAL,modelo/proceso/cables/puesta a tierra por verificar,limpieza/resguardo,preventivo controlado pendiente,registro de activo + manual/mantenimiento,NOT_VERIFIED
AST-SOL-002,AREA-SOL,Esmeril/amoladora,corte/acabado metálico cuando aplica,CRITICAL,disco/guarda/cable por verificar,limpieza/resguardo,antes/después de uso + preventivo controlado registrado en fuente,registro de activo + mantenimiento,NOT_VERIFIED
AST-SOL-003,AREA-SOL,Prensas/sujeción,sujetar trabajo,PRODUCTION,condición/agarre,limpieza/resguardo,antes/después de uso + preventivo controlado registrado en fuente,registro/foto,NOT_VERIFIED
AST-SOL-004,AREA-SOL,Ventilación/extracción,control de humos según proceso,CRITICAL,funcionamiento/flujo por validar,limpieza/inspección,preventivo controlado registrado en fuente,evidencia técnica + mantenimiento,NOT_VERIFIED
AST-BLA-001,AREA-BLA,Recipiente/fuente de calor,tratamiento de cráneo,CRITICAL,estabilidad/conexión/condición,limpieza/enfriamiento seguro,preventivo según equipo real pendiente,registro de activo + evidencia de uso,NOT_VERIFIED
