"req_id","area_id","area","element","standard_target","current_state","implementation_action","data_or_calculation","evidence_id","implementation_status","audit_result","finding_or_action","reviewer","review_date"
"REC-FT-01","area-recepcion","Recepción","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-REC-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-02","area-recepcion","Recepción","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-REC-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-03","area-recepcion","Recepción","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-REC-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-04","area-recepcion","Recepción","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-REC-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-05","area-recepcion","Recepción","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-REC-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-06","area-recepcion","Recepción","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-REC-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-07","area-recepcion","Recepción","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-REC-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-08","area-recepcion","Recepción","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-REC-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-09","area-recepcion","Recepción","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-REC-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-10","area-recepcion","Recepción","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-REC-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-11","area-recepcion","Recepción","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-REC-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"REC-FT-12","area-recepcion","Recepción","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-REC-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-01","area-curtiduria","Curtiduría","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-CUR-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-02","area-curtiduria","Curtiduría","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-CUR-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-03","area-curtiduria","Curtiduría","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-CUR-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-04","area-curtiduria","Curtiduría","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-CUR-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-05","area-curtiduria","Curtiduría","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-CUR-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-06","area-curtiduria","Curtiduría","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-CUR-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-07","area-curtiduria","Curtiduría","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-CUR-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-08","area-curtiduria","Curtiduría","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-CUR-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-09","area-curtiduria","Curtiduría","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-CUR-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
